a.	[ə.]	n. 天主教徒
accord	[əˈkɔrd]	vi. 相符合， 相一致 ｜n. 一致， 符合；协议， 条约 ｜vt. 授予， 赠与
accordance	[əˈkɔrdəns]	n. 一致；和谐
accordingly	[əˈkɔrdɪŋli]	adv. 因此，于是；相应地；照著
accountant	[əˈkaʊntənt]	n. 会计人员，会计师
accumulate	[əˈkjumjəˌleɪt]	v. 累积；积聚
accuracy	[ˈækjərəsi]	n. 正确，准确；准确性；精确度
accuse	[əˈkjuz]	v. 控告，指控；谴责；归咎于
accustom	[əˈkəstəm]	vt. 使习惯于
accustomed	[əˈkəstəmd]	adj. 习惯的，适应的(一般作表语)；惯常的 ｜v. 使习惯于（accustom的过去分词）
ache	[eɪk]	v. 疼痛；渴望 ｜n. 疼痛
achievement	[əˈtʃiːvmənt]	n. 成就
acid	[ˈæsəd]	n. 酸,酸性物质 ｜adj. 酸的,酸味的；尖刻的
acknowledge	[ækˈnɑlɪʤ]	v. 承认；答谢；报偿；告知已收到
acquaint	[əkˈweɪnt]	v. 使熟悉；使认识
acquaintance	[əkˈweɪntəns]	n. 熟人；相识；了解；知道
acquire	[əkˈwaɪər]	v. 获得；取得；学到；捕获
acquisition	[ˌækwɪˈzɪʃn]	n. 获得物，获得；收购
acre	[ˈeɪkər]	n. 英亩；田地；地产
acrobat	[ˈækrəˌbæt]	n. 特技演员，杂技演员
activate	[ˈæktəˌveɪt]	v. 启动，激活；驱动，驱使；使开始起作用
actress	[ˈæktrəs]	n. 女演员
acute	[əˈkjut]	adj. 严重的，[医] 急性的；敏锐的；激烈的；尖声的
adapt	[əˈdæpt]	v. 使适应；改编
addict	[ˈæˌdɪkt]	n. 对…入迷的人 ｜v. 使沉溺；使上瘾
adequate	[ˈædəkˌweɪt]	adj. 充足的，足够的
adhere	[əˈdhɪr]	v. (to)粘着；坚持，遵守
adjacent	[əˈʤeɪsənt]	adj. 邻近的，毗连的
adjective	[ˈæʤɪktɪv]	adj. 形容词的；从属的 ｜n. 形容词
adjoin	[əˈʤɔɪn]	v. 毗连，邻接
adjust	[əˈʤəst]	v. 调整，使…适合；校准
administer	[ədˈmɪnɪstər]	v. 管理；执行；给予
admire	[ædˈmaɪr]	v. 钦佩，赞美，羡慕
admission	[ədˈmɪʃən]	n. 承认；入场费；进入许可；坦白；录用
adolescent	[ˌædəˈlɛsənt]	adj. 青春期的；未成熟的 ｜n. 青少年
adopt	[əˈdɑpt]	v. 采取；接受；收养；正式通过
adore	[əˈdɔr]	v. 崇拜；爱慕；喜爱；极喜欢 ｜n. (dore)人名；(法)阿多尔
advent	[ˈædˌvɛnt]	n. (重要事件等的)到来，来临
adventure	[ədˈvɛnʧər]	n. 冒险，冒险活动，奇遇 ｜v. 大胆进行
adverb	[ˈædvərb]	n. 副词 ｜adj. 副词的
adverse	[ˌædˈvərs]	adj. 逆的，相反的；敌对的；不利的；有害的
advertise	[ˈædvərˌtaɪz]	v. 为...做广告；公告，公布
advisable	[ədˈvaɪzəbəl]	adj. 可取的，适当的，明智的
advise	[ədˈvaɪz]	v. 忠告，劝告，建议；通知，告知
advocate	[ˈædvəˌkeɪt]	n. 辩护者，拥护者，鼓吹者 ｜v. 拥护，提倡
aerial	[ˈɛriəl]	adj. 空中的，航空的；空气的；空想的 ｜n. [电讯] 天线
aerospace	[ˈeərəʊspeɪs]	n. 航天
aesthetic	[ɛsˈθɛtɪk]	adj. 美的；美学的；审美的，具有审美趣味的
affair	[əˈfɛr]	n. 事情；事务；私事；（尤指关系不长久的）风流韵事
affection	[əˈfɛkʃən]	n. 喜爱，钟爱；慈爱
affiliate	[əˈfɪliˌeɪt]	v. 隶属于 ｜n. 附属机构， 分公司
affirm	[əˈfərm]	v. 肯定；断言
affluent	[ˈæfluənt]	adj. 富裕的；丰富的；流畅的 ｜n. 支流；富人
afterward	[ˈæftərwərd]	adv. 以后，后来
afterwards	[ˈæftərwərdz]	adv. 后来， 以后
agenda	[əˈʤɛndə]	n. 议事日程，记事册
aggravate	[ˈægrəˌveɪt]	v. 加重；使恶化；激怒
aggregate	[ˈæɡrɪɡət]	adj. 综合
aggressive	[əˈgrɛsɪv]	adj. 侵略的，好斗的；有进取心的
agitate	[ˈæʤəˌteɪt]	v. 煽动，鼓动；宣传
agony	[ˈægəni]	n. (精神或肉体的)极大痛苦，创伤
agreeable	[əˈgriəbəl]	adj. 令人愉快的；适合的；和蔼可亲的
agriculture	[ˈægrɪˌkəlʧər]	n. 农业；农耕；农业生产；农艺，农学
airline	[ˈɛˌrlaɪn]	n. 航空公司；航线 ｜adj. 航线的
aisle	[aɪəl]	n. 通道，走道；侧廊
alarm	[əˈlɑrm]	n. 闹钟；警报，警告器；惊慌 ｜v. 警告；使惊恐
alert	[əˈlərt]	v. 警告；使警觉，使意识到 ｜adj. 警惕的，警觉的；留心的 ｜n. 警戒，警惕；警报
alien	[ˈeɪliən]	adj. 外国的；相异的，性质不同的；不相容的 ｜n. 外国人，外侨；外星人 ｜v. 让渡，转让
alienate	[ˈeɪljəˌneɪt]	vt. 使疏远， 使格格不入；使不友好； 离间
align	[əˈlaɪn]	v. 一致
alike	[əˈlaɪk]	adj. 相似的；相同的 ｜adv. 以同样的方式；类似于
allege	[əˈlɛʤ]	v. 宣称，断言；提出…作为理由
allegiance	[əˈliʤəns]	n. 拥护； 忠诚
alleviate	[əˈliviˌeɪt]	v. 减轻，缓和，缓解(痛苦等)
alliance	[əˈlaɪəns]	n. 联盟，联合；联姻
allocate	[ˈæləˌkeɪt]	v. 分配，分派；拨给
allowance	[əˈlaʊəns]	n. 补贴，津贴；允许量；零用钱 ｜v. 定量供应
alloy	[ˈæˌlɔɪ]	v. 使成合金；使减低成色 ｜n. 合金
ally	[ˈælaɪ]	n. 同盟国；伙伴；同盟者；助手 ｜v. 使联盟；使联合
alongside	[əˈlɔŋˈsaɪd]	prep. 在旁边 ｜adv. 在旁边
aloud	[əˈlaʊd]	adv. 大声地；出声地
alphabet	[ˈælfəˌbɛt]	n. 字母表，字母系统；入门，初步
alter	[ˈɔltər]	v. 改变，更改 ｜n. (lter)人名；(英)奥尔特；(德、捷、葡、爱沙、立陶、拉脱、俄、西、罗、瑞典)阿尔特
alternate	[ˈɔltərˌneɪt]	v. 交替；轮流 ｜adj. 交替的；轮流的 ｜n. 替换物
altitude	[ˈæltɪtjuːd]	n. 高度， 海拔
altogether	[ˌɔltəˈgɛðər]	adv. 完全地；总共；总而言之 ｜n. 整个；裸体
aluminium	[ˌæˈljumɪnəm]	n. 铝
aluminum	[əˈlumənəm]	n. 铝
amateur	[ˈæməˌʧər]	n. 爱好者；业余爱好者；外行 ｜adj. 业余的；外行的
amaze	[əˈmeɪz]	v. 使吃惊
ambassador	[æmˈbæsədər]	n. 大使；特使，(派驻国际组织的)代表
ambiguous	[æmˈbɪgjuəs]	adj. 模糊不清的；引起歧义的
ambition	[æmˈbɪʃən]	n. 野心，雄心；抱负，志向 ｜v. 追求；有…野心
ambitious	[æmˈbɪʃəs]	adj. 野心勃勃的；有雄心的；热望的；炫耀的
ambulance	[ˈæmbjələns]	n. [车辆][医] 救护车；战时流动医院
amend	[əˈmɛnd]	v. 修改；改善，改进 ｜n. (mend)人名；(德、英)阿门德
amiable	[ˈeɪmiəbəl]	adj. 和蔼可亲的，亲切的 ｜n. (miable)人名；(法)阿米亚布勒；(英)阿米娅布尔
amid	[əˈmɪd]	prep. 在…中间，在…之中，被…围绕 ｜n. (mid)人名；(法、阿拉伯)阿米德
ample	[ˈæmpəl]	adj. 丰富的；足够的；宽敞的 ｜n. (mple)人名；(西)安普尔
amplifier	[ˈæmpləˌfaɪər]	n. [电子] 放大器，扩大器；扩音器
amplify	[ˈæmpləˌfaɪ]	v. 放大，扩大；增强；详述
amuse	[əmˈjuz]	v. 娱乐；消遣；使发笑；使愉快
analog	[ˈænəˌlɔg]	n. 类似物； 模拟
analogue	[ˈænəˌlɔg]	n. 类似物；相似体；模拟 ｜adj. 类似的；相似物的；模拟计算机的
analogy	[əˈnæləʤi]	n. 类似，相似，类比，类推
analytic	[ˌænəˈlɪtɪk]	adj. 分析的；解析的；善于分析的
analytical	[ˌænəˈlɪtɪkəl]	adj. 分析的； 分解的
analyze	[ˈænəˌlaɪz]	vt. 分析； 分解
ancestor	[ˈænˌsɛstər]	n. 始祖，祖先；被继承人
anchor	[ˈæŋkər]	n. 锚；抛锚停泊；靠山；新闻节目主播 ｜v. 抛锚；使固定；主持节目 ｜adj. 末棒的；最后一棒的
anecdote	[ˈænɪkˌdoʊt]	n. 轶事；奇闻；秘史
angel	[ˈeɪnʤəl]	n. 天使；守护神；善人 ｜vt. 出钱支持
anger	[ˈæŋgər]	n. 怒，愤怒；忿怒 ｜v. 使发怒，激怒；恼火
angle	[ˈæŋgəl]	v. 钓鱼；谋取 ｜n. 角度，角，方面
anguish	[ˈæŋgwɪʃ]	n. 痛苦；苦恼 ｜v. 使极度痛苦
ankle	[ˈæŋkəl]	n. 踝关节，踝
announce	[əˈnaʊns]	v. 正式宣布,发表
annoy	[əˈnɔɪ]	v. 骚扰；惹恼；打搅 ｜n. 烦恼（等于annoyance）
anonymous	[əˈnɑnəməs]	adj. 匿名的，无名的，姓氏不明的
antenna	[ænˈtɛnə]	n. [电讯] 天线；[动] 触角，[昆] 触须
anticipate	[ænˈtɪsəˌpeɪt]	v. 预料；期望；预先考虑；抢先；提前使用
antique	[ænˈtik]	adj. 古老的，年代久远的；过时的，古董的；古风的，古式的 ｜n. 古董，古玩；古风，古希腊和古罗马艺术风格 ｜v. 觅购古玩
anxiety	[æŋˈzaɪəti]	n. 焦虑；渴望；挂念；令人焦虑的事
anxious	[ˈæŋʃəs]	adj. 焦虑的；担忧的；渴望的；急切的
anyhow	[ˈɛniˌhaʊ]	adv. 不管怎样， 无论如何； 不论用何种办法
ape	[eɪp]	n. 猿 ｜vt. 模仿
apologise	[əˈpɑləˌʤaɪz]	v. (to,for)道歉，认错
apology	[əˈpɑləˌʤi]	n. 道歉，认错
appall	[əˈpɔl]	vt. 使惊骇， 使恐怖
apparatus	[ˌæpərˈætəs]	n. 器械，器具，仪器；机构，组织
apparent	[əˈpɛrənt]	adj. 显然的,明明白白的；表面上的
appendix	[əˈpɛndɪks]	n. 附录；阑尾；附加物
appetite	[ˈæpəˌtaɪt]	n. 食欲，胃口；欲望
applaud	[əˈplɔd]	v. 赞同；称赞；向…喝彩
applause	[əˈplɔz]	n. 欢呼，喝采；鼓掌欢迎
appliance	[əˈplaɪəns]	n. 器具；器械；装置
applicable	[ˈæpləkəbəl]	adj. 可适用的；可应用的；合适的
appoint	[əˈpɔɪnt]	v. 任命；指定；约定
appointment	[əˈpɔɪntmənt]	n. 任命；约定；任命的职位
appraisal	[əˈpreɪzəl]	n. 对...作出的评价；评价，鉴定，评估
approve	[əˈpruv]	v. 批准，通过；(of)赞成，赞许，同意
approximate	[əˈprɑksəˌmeɪt]	adj. 近似的 ｜v. (to)接近
apt	[æpt]	adj. 恰当的；有…倾向的；灵敏的 ｜n. (pt)人名；(法、波、英)阿普特
arbitrary	[ˈɑrbɪˌtrɛri]	adj. [数] 任意的；武断的；专制的
arch	[ɑrʧ]	n. 弓形，拱形；拱门 ｜adj. 主要的 ｜v. 使…弯成弓形；用拱连接
archaeology	[ˌɑrkiˈɑləʤi]	n. 考古学
archeology	[ˌɑrkiˈɑləʤi]	n. 考古学
architect	[ˈɑrkəˌtɛkt]	n. 建筑师；设计师；缔造者；创造者
architecture	[ˈɑrkəˌtɛkʧər]	n. 建筑学；建筑风格，建筑设计
argue	[ˈɑrgju]	v. 争论，辩论；提出理由 ｜n. (rgue)人名；(英、法)阿格
arise	[əraɪz]	v. 出现；上升；起立 ｜n. (rise)人名；(西)阿里塞；(日)在濑(姓)
arithmetic	[ˌɛrɪθˈmɛtɪk]	n. 算术，四则运算
arouse	[əraʊz]	v. 引起；唤醒；鼓励
arrange	[əreɪnʤ]	vt. 整理， 排列， 布置 ；安排， 筹备
array	[əreɪ]	n. 数组，阵列；排列，列阵；大批，一系列；衣服 ｜v. 排列，部署；打扮
arrival	[ərˈaɪvəl]	n. 到来；到达；到达者
arrogant	[ˈɛrəgənt]	adj. 自大的，傲慢的
arrow	[ˈɛroʊ]	n. 箭，箭头；箭状物；箭头记号 ｜vt. 以箭头指示；箭一般地飞向
artery	[ˈɑrtəri]	n. 动脉；干线，要道
articulate	[ɑrˈtɪkjəˌleɪt]	adj. 善于表达的 ｜v. 清楚地讲话 ｜n. 【动物学】有节体的动物
artificial	[ˌɑrtəˈfɪʃəl]	adj. 人工的，人造的；人为的；虚伪的，做作的
artistic	[ɑrˈtɪstɪk]	adj. 艺术(家)的，美术(家)的；善于艺术创作的
ascend	[əˈsɛnd]	v. 上升；登高；追溯
ascertain	[ˌæsərˈteɪn]	v. 确定，查明，弄清
ash	[æʃ]	n. 灰；灰烬
ashamed	[əˈʃeɪmd]	adj. 惭愧的，感到难为情的；耻于……的
ashore	[əˈʃɔr]	adv. 在岸上；向岸 ｜adj. 在岸上的；在陆上的
asleep	[əsˈlip]	adj. 睡着的；麻木的；长眠的 ｜adv. 熟睡地；进入睡眠状态
aspect	[ˈæspekt]	n. (问题等的)方面；样子, 外表, 面貌
aspiration	[ˌæspəˈreɪʃn]	n. 憧憬
aspire	[əˈspaɪr]	v. (to，after)渴望，追求，有志于
assassinate	[əˈsæsəˌneɪt]	v. 暗杀；行刺
assault	[əˈsɔlt]	n. 攻击；袭击 ｜v. 攻击；袭击
assemble	[əˈsɛmbəl]	v. 集合，聚集；装配；收集
assert	[əˈsərt]	v. 维护，坚持；断言；主张；声称
assess	[əˈsɛs]	v. 评定；估价；对…征税
asset	[ˈæˌsɛt]	n. 资产， 财产；优点； 有用的东西
assign	[əˈsaɪn]	v. 派给，分配；选定，指定(时间、地点等)
assignment	[əˈsaɪnmənt]	n. 任务；作业
assimilate	[əˈsɪməˌleɪt]	v. 吸收，消化；被吸收；被同化
assist	[əˈsɪst]	v. 协助，帮助，促进 ｜n. 帮助；助攻
associate	[əˈsoʊʃiˌeɪt]	v. 交往；结交 ｜n. 同事，伙伴；关联的事物 ｜adj. 副的；联合的
assumption	[əˈsəmpʃən]	n. 假定，设想；采取；承担
assurance	[əˈʃʊrəns]	n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
assure	[əˈʃʊr]	v. 保证；担保；使确信；弄清楚
asteroid	[ˈæstərɔɪd]	n. 小行星
astonish	[əˈstɑnɪʃ]	v. 使惊讶
astronaut	[ˈæstrəˌnɑt]	n. 宇航员，航天员；太空旅行者
astronomy	[əˈstrɑnəmi]	n. 天文学
athlete	[ˈæθˌlit]	n. 运动员，体育家；身强力壮的人
atmosphere	[ˈætməsˌfɪr]	n. 气氛；大气；空气
atom	[ˈætəm]	n. 原子
attach	[əˈtæʧ]	v. 使依附；贴上；系上；使依恋
attain	[əˈteɪn]	v. 完成；获得；达到 ｜n. 成就
attendance	[əˈtɛndəns]	n. 出席；到场；出席人数；考勤
attendant	[əˈtɛndənt]	adj. 伴随的；侍候的 ｜n. 服务员，侍者；随员，陪从
attract	[əˈtrækt]	v. 吸引；引起的注意(或兴趣等)
attribute	[əˈtrɪˌbjut]	n. 属性；特质 ｜v. 归属；把…归于
auction	[ˈɔkʃən]	v. 拍卖；竞卖 ｜n. 拍卖
audio	[ˈɑdiˌoʊ]	adj. 声音的；[声] 音频的，[声] 声频的
audit	[ˈɔdɪt]	v. 审计；[审计] 查账 ｜n. 审计；[审计] 查账
auditorium	[ˌɔdəˈtɔriəm]	n. 礼堂，会堂；观众席
augment	[ɔgˈmɛnt]	v. 增加；增大 ｜n. 增加；增大
aunt	[ɔnt]	n. 阿姨；姑妈；伯母；舅妈
aural	[ˈɔrəl]	adj. 听觉的
authentic	[əˈθɛnɪk]	adj. 真正的，真实的；可信的
auto	[ˈɔtoʊ]	n. 汽车（等于automobile）；自动 ｜vi. 乘汽车
automatic	[ˌɔtəˈmætɪk]	adj. 自动的；无意识的；必然的 ｜n. 自动机械；自动手枪
automation	[ɔtəˈmeɪʃən]	n. 自动化；自动操作
automobile	[ˌɔtəmoʊˈbil]	n. 汽车
autonomy	[əˈtɑnəmi]	n. 自治，自治权
autumn	[ˈɔtəm]	n. 秋天；成熟期；渐衰期，凋落期 ｜adj. 秋天的，秋季的
auxiliary	[ɑgˈzɪljəri]	n. 助动词；辅助者，辅助物；附属机构 ｜adj. 辅助的；副的；附加的
avail	[əˈveɪl]	n. 效用，利益 ｜v. 有益于，有益于；使对某人有利。
avenue	[ˈævəˌnu]	n. 大街；林荫路；途径，渠道，方法
avert	[əˈvərt]	v. 防止，避免；转移(目光、注意力等)
aviation	[ˌeɪviˈeɪʃən]	n. 航空；飞行术；飞机制造业
await	[əˈweɪt]	v. 等候，等待；期待
awake	[əˈweɪk]	v. 觉醒，意识到；醒来；被唤起 ｜adj. 醒着的
awe	[ɔ]	v. 使敬畏；使畏怯 ｜n. 敬畏
awful	[ˈɔfəl]	adj. 可怕的；极坏的；使人敬畏的
awkward	[ˈɔkwərd]	adj. 尴尬的；笨拙的；棘手的；不合适的
ax	[æks]	n. 斧
axe	[æks]	n. 斧 ｜v. 削减；用斧砍
axis	[ˈæksəs]	n. 轴；轴线；轴心国
bachelor	[ˈbæʧələr]	n. 学士；单身汉；（尚未交配的）小雄兽
backhaul	[ˈbækhɔːl]	n. 回传
backup	[ˈbækʌp]	n. 备用
backward	[ˈbækwərd]	adj. 向后的；反向的；发展迟缓的 ｜adv. 向后地；相反地
bacon	[ˈbeɪkən]	n. 咸肉；腌肉；熏猪肉
bacterium	[bækˈtɪriəm]	n. 细菌
badge	[bæʤ]	n. 徽章；证章；标记 ｜v. 授给…徽章
badminton	[ˈbædˌmɪntən]	n. 羽毛球
baggage	[ˈbægɪʤ]	n. 行李；[交] 辎重（军队的）
bail	[beɪl]	n. 保释 ｜vt. 保释 ；帮助脱离困境
bait	[beɪt]	v. 引诱；在…中放诱饵；折磨 ｜n. 饵；诱饵
bake	[beɪk]	v. 烤，烘焙 ｜n. 烤；烘烤食品
balcony	[ˈbælkəni]	n. 阳台；包厢；戏院楼厅
bald	[bɔld]	adj. 秃顶的；光秃的；单调的；无装饰的 ｜v. 变秃 ｜n. (Bald)人名；(英)鲍尔德；(德、法、波)巴尔德
ballet	[bæˈleɪ]	n. 芭蕾舞剧；芭蕾舞乐曲
balloon	[bəˈlun]	v. 激增；膨胀如气球 ｜n. 气球 ｜adj. 像气球般鼓起的
ballot	[ˈbælət]	n. 投票；投票用纸；投票总数 ｜v. 投票；抽签决定
banana	[bəˈnænə]	n. 香蕉；喜剧演员；大鹰钩鼻
bandage	[ˈbændɪʤ]	n. 绷带 ｜v. 用绷带扎缚
bandwidth	[ˈbændwɪdθ]	n. 带宽
bang	[bæŋ]	n. 刘海；重击；突然巨响 ｜adv. 直接地；砰然地；突然巨响地 ｜v. 重击；发巨响
bankrupt	[ˈbæŋkrəpt]	adj. 破产的 ｜v. 使破产 ｜n. 破产者
banner	[ˈbænər]	n. 旗(帜)
banquet	[ˈbæŋkwət]	n. (正式的)宴会 ｜v. 参加宴会，宴请
barbecue	[ˈbɑrbɪˌkju]	n. 烧烤野餐 ｜v. 炙烤(肉等)
barber	[ˈbɑrbər]	n. 理发师 ｜v. 为…理发；修整
bare	[bɛr]	adj. 赤裸的；空的 ｜v. 露出,暴露 ｜n. (Bare)人名；(英)贝尔
barely	[ˈbɛrli]	adv. 勉强才能；几乎不
bargain	[ˈbɑrgɪn]	n. 廉价货；交易,契约,合同 ｜v. 议价
bark	[bɑrk]	vi. 吠叫， 咆哮 ｜n. 吠声， 狗叫声
barn	[bɑrn]	n. 谷仓,仓库 ｜vt. 把…贮存入仓
barrel	[ˈbɛrəl]	n. 桶；枪管,炮管 ｜v. 把……装入桶内
barren	[ˈbɛrən]	adj. 贫瘠的；不育的；(植物)不结果的 ｜n. 荒地
barrier	[ˈbɛriər]	n. 障碍；栅栏,障碍(物) ｜vt. 把…关入栅栏
basement	[ˈbeɪsmənt]	n. 建筑物的底部,地下室,地窖
basin	[ˈbeɪsən]	n. 盆,脸盆；盆地
basket	[ˈbæskət]	n. 筐，篮，篓 ｜vt. 装入篮
bat	[bæt]	n. 蝙蝠；球拍,球棒,短棒
batch	[bæʧ]	n. 一批,一组,一群 ｜v. 分批处理
bath	[bæθ]	n. 沐浴,洗澡；浴缸，澡盆 ｜v. (给…)洗澡
bathe	[beɪð]	v. 洗澡；给…洗；游泳；浸洗; 浸泡 ｜n. 洗澡；游泳
beam	[bim]	n. 横梁；光线；电波；船宽；[计量] 秤杆 ｜v. 发送；以梁支撑；用…照射；流露
bean	[bin]	n. 豆， 菜豆， 蚕豆
beard	[bɪrd]	v. 公然反对；抓…的胡须 ｜n. 胡须；颌毛
bearing	[ˈbɛrɪŋ]	n. [机] 轴承；关系；方位；举止 ｜v. 忍受（bear的ing形式）
beast	[bist]	n. 兽， 牲畜 ；凶残的人； 举止粗鲁的人
bee	[bi]	n. 蜜蜂，蜂；勤劳的人
beef	[bif]	n. 牛肉；肌肉；食用牛；牢骚 ｜v. 抱怨，告发；发牢骚
beg	[bɛg]	v. 乞讨；恳求；回避正题 ｜n. (Beg)人名；(德、塞、巴基)贝格
behalf	[bɪˈhæf]	n. 代表；利益
behave	[bɪˈheɪv]	v. 表现；（机器等）运转；举止端正；（事物）起某种作用
behaviour	[bɪˈheɪvjər]	n. 行为， 举止；特性； 运转情况
belief	[bɪˈliːf]	n. 相信，信赖；信仰；教义
belly	[ˈbɛli]	n. 腹部；胃；食欲 ｜v. 涨满；鼓起
belong	[bɪˈlɔŋ]	v. 属于，应归入；居住；适宜；应被放置
beloved	[bɪˈləvəd]	adj. 心爱的；挚爱的 ｜n. 心爱的人；亲爱的教友
belt	[bɛlt]	n. 带；腰带；地带 ｜v. 用带子系住；用皮带抽打
bench	[bɛnʧ]	n. 长凳；工作台；替补队员 ｜v. 给…以席位；为…设置条凳
bend	[bɛnd]	v. 使弯曲；使屈服；使致力；使朝向 ｜n. 弯曲
beneath	[bɪˈniθ]	prep. 在…之下 ｜adv. 在下方
beneficial	[ˌbɛnəˈfɪʃəl]	adj. (to)有利的,有益的
benign	[bɪˈnaɪn]	adj. 良性的；和蔼的，亲切的；吉利的 ｜n. (Benign)人名；(俄)贝尼根
beside	[ˌbiˈsaɪd]	prep. 在...旁边，在...附近；和...相比
betray	[bɪˈtreɪ]	v. 背叛；出卖；泄露（秘密）；露出…迹象
beverage	[ˈbɛvərɪʤ]	n. (水，酒等之外的)饮料
beware	[bɪˈwɛr]	v. 当心，小心
bewilder	[bɪˈwɪldər]	v. 使迷惑，使不知所措
bias	[baɪəs]	n. 偏见；偏爱；斜纹；乖离率 ｜v. 使存偏见 ｜adj. 偏斜的 ｜adv. 偏斜地
biased	[baɪəst]	adj. 有偏见的； 结果偏倚的
bibliography	[ˌbɪbliˈɑgrəfi]	n. 参考书目；文献目录
bicycle	[ˈbaɪsɪkəl]	n. (bike)自行车 ｜v. 骑自行车
bid	[bɪd]	v. 投标；出价；表示；吩咐 ｜n. 出价；叫牌；努力争取
bin	[bɪn]	n. 箱子，容器；二进制 ｜v. 把…放入箱中
bind	[baɪnd]	v. 结合；装订；有约束力；过紧 ｜n. 捆绑；困境；讨厌的事情；植物的藤蔓
biography	[baɪˈɑgrəfi]	n. 传记；档案；个人简介
biology	[baɪˈɑləʤi]	n. 生物学
biscuit	[ˈbɪskət]	n. 小点心，饼干
bite	[baɪt]	v. 咬；刺痛 ｜n. 咬；一口；咬伤；刺痛 abbr. 机内测试设备（Built-In Test Equipment）
bizarre	[bɪˈzɑr]	adj. 奇异的（指态度，容貌，款式等）
blackboard	[ˈblækˌbɔrd]	n. 黑板
blackmail	[ˈblækˌmeɪl]	n. 勒索，敲诈；勒索所得之款 ｜v. 勒索，敲诈
blade	[bleɪd]	n. 叶片；刀片，刀锋；剑
blank	[blæŋk]	adj. 空白的， 空着的；失色的， 无表情的 ｜n. 空白；表格
blanket	[ˈblæŋkɪt]	n. 毛毯，毯子；毯状物，覆盖层 ｜adj. 总括的，全体的；没有限制的 ｜v. 覆盖，掩盖；用毯覆盖
blast	[blæst]	n. 爆炸；冲击波；一阵 ｜v. 猛攻
blaze	[bleɪz]	v. 在树皮上刻路标；公开宣布 ｜n. 火焰，烈火；光辉；情感爆发
bleak	[blik]	adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
bleed	[blid]	v. 使出血；榨取
blend	[blɛnd]	v. 混合 ｜n. 混合；掺合物
bless	[blɛs]	v. 祝福；保佑；赞美 ｜n. (Bless)人名；(英、意、德、匈)布莱斯
bloody	[ˈblədi]	adj. 血腥的；非常的；嗜杀的，残忍的；血色的 ｜v. 使流血 ｜adv. 很
bloom	[blum]	n. 花；青春；旺盛 ｜v. 使开花；使茂盛
blossom	[ˈblɑsəm]	v. 开花；兴旺；发展成 ｜n. 花；开花期；兴旺期；花开的状态
blouse	[blaʊs]	n. 宽松的上衣；女装衬衫 ｜vt. 使…宽松下垂 ｜vi. 宽松下垂
blueprint	[ˈbluˌprɪnt]	v. 计划；制成蓝图 ｜n. 蓝图，设计图；计划
blunder	[ˈbləndər]	v. 跌跌撞撞地走；犯大错 ｜n. 大错
blunt	[blənt]	adj. 钝的，不锋利的；生硬的；直率的 ｜v. 使迟钝 ｜n. (Blunt)人名；(英)布伦特
